Ciudad,Dirección,Nombre
Amposta,Madrid s/n – 43870 Amposta,Estadi Municipal
Andorra la Vella,"Av. Salou, 22 – AD500 Andorra la Vella",Estadi Comunal
Ascó,Camp Municipal d’Esports – 43791 Ascó,Camp Municipal d’Esports
Barberà del Vallès,"Dr. Moragas, 268-270 – 08210 Barberà del Vallès",Estadi Municipal de Can Llobet
Barcelona,"Pg. Olímpic, 17-19 – 08038 Barcelona",Estadi Olímpic “Lluís Companys”
Barcelona,"Camí del Polvorí, 5-7 – 08038 Barcelona",Estadi Municipal “Joan Serrahima”
Barcelona,"Roselló i Porcell, 7-11 – 08016 Barcelona",Estadi Municipal “Can Dragó”
Barcelona,"Av. Diagonal, 695-701 – 08028 Barcelona",Estadi de la Universitat de Barcelona
Calella,Zona Esportiva “La Muntanyeta”,Estadi Municipal “La Muntanyeta”
Cambrils,,Estadi Municipal
Castellar del Vallès,"Garrotxa, s/n – 08211 Castellar del Vallès",Estadi Municipal
Cornellà de Llobregat,"Carrer del Rugby , s/n – 08940 Cornellà de Llobregat",Estadi Municipal
El Prat de Llobregat,"Complex Esportiu Municipal Sagnier Frederica Montseny, 2-8 08820 El Prat de Llobregat",Estadi “Moisés Llopart”
Gavà,"Pge. Elisenda Montcada, s/n – 08850 Gavà",Estadi Municipal “La Bòbila”
Girona,"Creu de Palau – Av. Montilivi, 149 – 17003 Girona",Estadi Palau Sacosta
Granollers,"Zona Esportiva Municipal – Camp de Les Moreres, 22 08400 Granollers",Estadi Municipal
Igualada,"Av. de l’Estadi, s/n – 08700 Igualada",Estadi Municipal
L’Hospitalet de Llobregat,"Manuel Azaña, 1 – 08906 L ‘Hospitalet de Llobregat",Complex Esportiu L’Hospitalet Nord
Lleida,Parc Alcalde Pons – Carretera d’Osca Km. 99 25199 Lleida,Estadi Municipal Les Basses
Lloret de Mar,"Av. del Rieral, 16 – 17310 Lloret de Mar",Pistes Municipals
Manresa,Zona Esportiva “El Congost” – 08240 Manresa,Estadi d’El Congost
Mataró,"Carretera de Cirera, 223 – 08304 Mataró",Estadi Municipal
Mollet del Vallès,"Av. Rivoli, 8-10 – 08100 Mollet del Vallès",Estadi Municipal “La Pedra Salvadora”
Montornès del Vallès,"Gran Vial , s/n – 08170 Montornès del Vallès",Estadi Municipal
Palafrugell,"Ample, 107 – 17200 Palafrugell",Estadi “Josep Pla Arbonès”
Reus,"Av. Marià Fortuny, 5 – 43204 Reus",Estadi “Club Natació Reus Ploms”
Rubí,"Av. de les Olímpiades, s/n – 08191 Rubí",Estadi Municipal de “Can Rosès”
Sabadell,"Camí de Can Quadres, 190 – 08204 Sabadell",Estadi Municipal “Josep Molins”
Sant Boi de Llobregat,"Camí de les Orioles, s/n – 08830 Sant Boi de Llobregat",Estadi Municipal “Constantí Miranda”
Sant Celoni,Carretera de Campins Km. 1 – 08470 Sant Celoni,Estadi Municipal
Sant Cugat del Vallès,"Av. Alcalde Barnils, s/n – 08190 Sant Cugat del Vallès",Estadi Centre d’Alt Rendiment
Sant Cugat del Vallès,"Av. La Guinardera, 20 – 08174 Sant Cugat del Vallès",Zona Esportiva Municipal La Guinardera
Sant Feliu de Llobregat,"Mataró, s/n – 08980 Sant Feliu de Llobregat",Estadi Parc Esportiu Can Grases
Santa Coloma de Gramanet,"Av. Pallaresa, 1-31 – 08924 Santa Coloma de Gramenet",Camp d’Atletisme Antoni Amorós
Tarragona,"Riu Siurana, s/n – 43006 Tarragona",Estadi Camp Clar
Tona,Zona Esportiva Municipal – 08551 Tona,Estadi Municipal
Valls,"Passeig President Tarradellas, s/n – 43800 Valls",Pista d’Atletisme Municipal del Fornàs
Vilafranca del Penedès,"Zona Esportiva Municipal – Av. Catalunya, s/n 08720 Vilafranca del Penedès",Estadi Municipal
Vilanova i la Geltrú,"Ronda Ibèrica, s/n – 08800 Vilanova i la Geltrú",Pistes Poliesportives Municipals
Vic,"Zona Esportiva Municipal – Antoni Vilà, s/n – 08500 Vic",Estadi Municipal “Josep Mª Pallàs”
Barcelona,"Av. Litoral, 86-96 – 08005 Barcelona",Complex Esportiu Municipal “Mar Bella”
Martorell,,Complex Esportiu Torrent de Llops
Mollerussa,Parc de La Serra – 25230 Mollerussa,Estadi Municipal
Torredembarra,,Estadi Municipal
Tortosa,,Estadi Municipal
Sabadell,"Camí de Can Quadres, 190 – 08204 Sabadell",Pista Coberta de Catalunya
Sant Cugat,"Av. Alcalde Barnils, s/n – 08190 Sant Cugat del Vallès",Zona de Salts Centre d’Alt Rendiment
Badalona,"Carretera de Canyet, s/n – 08916 Badalona",Estadi Municipal “Paco Aguila”
Figueres,"Avinguda Olimpia, s/n – 17600 Figueres",Estadi Municipal Albert Gurt
Olot,Bicicarril Olot-Girona (Sector Sant Roc) – 17800 Olot,Estadi Municipal Parc Esportiu Tussols Basil
Terrassa,"Badalona, 4 – 08223 Terrassa",Estadi Municipal de “Can Jofresa”
